GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,Actor1CountryCode,Actor2CountryCode,EventCode,QuadClass,GoldsteinScale,AvgTone,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Type,SOURCEURL
1271839216,20251031,GOVERNOR,,,,190,4,-10.0,-3.31599479843953,26.1147,-14.3892,4,https://cedarnews.net/bbc/%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D9%86-%D9%8A%D8%B5%D9%88%D8%AA-%D8%B9%D9%84%D9%89-%D8%AF%D8%B9%D9%85-%D8%AE%D8%B7%D8%A9-%D8%A7%D9%84%D8%AD%D9%83%D9%85-%D8%A7%D9%84%D8%B0%D8%A7%D8%AA/886709/
1241755259,20250504,SEPARATIST,,,,190,4,-10.0,-8.78048780487802,26.6792,-11.6781,4,https://www.moroccoworldnews.com/2025/05/196685/polisario-uses-terrorism-threats-to-deter-foreign-investment-in-moroccos-southern-provinces/
1241755261,20250504,SEPARATIST,MOROCCO,,MAR,190,4,-10.0,-8.78048780487802,26.6792,-11.6781,4,https://www.moroccoworldnews.com/2025/05/196685/polisario-uses-terrorism-threats-to-deter-foreign-investment-in-moroccos-southern-provinces/
1241755260,20250504,SEPARATIST,WESTERN SAHARA,,MAR,190,4,-10.0,-8.78048780487802,26.6792,-11.6781,4,https://www.moroccoworldnews.com/2025/05/196685/polisario-uses-terrorism-threats-to-deter-foreign-investment-in-moroccos-southern-provinces/
1071358072,20221109,WESTERN SAHARA,MOROCCO,MAR,MAR,1822,4,-9.0,-10.3846153846154,27.135,-13.1625,4,https://www.la-croix.com/Monde/Torture-prisonniers-sahraouis-portent-plainte-contre-Maroc-devant-lONU-2022-11-09-1201241497
1275306959,20251120,WESTERN SAHARA,,MAR,,194,4,-10.0,-2.43190661478599,27.4143,-9.04784,4,https://mg.co.za/thought-leader/opinion/2025-11-21-unsc-resolution-a-betrayal-of-western-sahara/
1065206195,20220928,MAURITANIA,WESTERN SAHARA,MRT,MAR,190,4,-10.0,0.13698630136987,21.2167,-17.0167,4,https://atalayar.com/en/content/morocco-and-mauritania-reinforce-their-exchange-information-and-intelligence
1128749003,20230923,ALGERIA,UNITED NATIONS,DZA,,190,4,-10.0,1.92307692307693,25.0,-13.5,1,https://www.eldjoumhouria.dz/article/15493/
1280609825,20251223,MOROCCO,,MAR,,190,4,-10.0,-0.99535500995355,25.0,-13.5,1,https://www.hespress.com/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%88%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D8%A8%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D9%86-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A-%D8%AF%D8%B1-1675390.html
1280609826,20251223,MOROCCO,,MAR,,190,4,-10.0,-0.99535500995355,25.0,-13.5,1,https://www.hespress.com/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%88%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D8%A8%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D9%86-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A-%D8%AF%D8%B1-1675390.html
1280536852,20251222,GOVERNMENT,,,,191,4,-9.5,-4.37445319335083,25.0,-13.5,1,https://www.thetimes.com/world/europe/article/closed-borders-eu-migration-v6czjltcc
1071278832,20221109,,MOROCCO,,MAR,1822,4,-9.0,-10.6537530266344,27.135,-13.1625,4,https://fr.allafrica.com/stories/202211090117.html
1071301383,20221109,ALGERIA,,DZA,,1821,4,-9.0,-9.5846645367412,25.0,-13.5,1,https://labass.net/68543-parlement-europeen-temoignage-choquant-de-khadijatou-mahmoud-sur-son-viol-par-le-chef-du-polisario.html
1071293216,20221109,MOROCCO,CANARY ISLANDS,MAR,ESP,1712,4,-9.2,0.99857346647646,23.6609,-15.9532,4,https://atalayar.com/en/blog/rivalry-between-dakhla-and-canary-islands-their-aspirations-be-tricontinental-platform
1254157871,20250726,WESTERN SAHARA,,MAR,,193,4,-10.0,-4.65717981888745,23.6609,-15.9532,4,https://www.middleeasteye.net/news/sahrawi-filmmakers-criticise-christopher-nolan-shooting-film-occupied-western-sahara
1266861574,20251005,WESTERN SAHARA,EGYPT,MAR,EGY,190,4,-10.0,4.94296577946768,25.0,-13.5,1,https://www.elfagr.org/5229559
1266861465,20251005,EGYPT,WESTERN SAHARA,EGY,MAR,190,4,-10.0,4.94296577946768,25.0,-13.5,1,https://www.elfagr.org/5229559
1279938323,20251218,MOROCCO,JOURNALIST,MAR,,190,4,-10.0,-5.03540519276161,25.0,-13.5,1,https://www.middleeasteye.net/news/eu-provisional-safe-countries-list-includes-repressive-states
1279938326,20251218,MOROCCO,ACTIVIST,MAR,,190,4,-10.0,-5.03540519276161,25.0,-13.5,1,https://www.middleeasteye.net/news/eu-provisional-safe-countries-list-includes-repressive-states
1290125364,20260220,MOROCCO,THE AU,MAR,AFR,190,4,-10.0,-5.08474576271186,25.0,-13.5,1,"https://www.africaintelligence.com/north-africa/2026/02/20/the-inconclusive-battle-waged-within-the-au-over-western-sahara,110663483-art"
1065262775,20220929,MOROCCO,ISRAEL,MAR,ISR,190,4,-10.0,-0.27998133457769,25.0,-13.5,1,https://www.jns.org/opinion/leveraging-the-abraham-accords-for-israels-relations-with-europe/
1065267472,20220929,AFRICA,MOROCCO,AFR,MAR,192,4,-9.5,1.33333333333333,25.0,-13.5,1,https://www.businesslive.co.za/fm/opinion/in-good-faith/2022-09-29-carmel-rickard-no-neutral-ground-on-western-sahara-issue/
1316614697,20260803,SPANISH,,ESP,,192,4,-9.5,1.10584518167457,27.135,-13.1625,4,http://www.bignewsnetwork.com/news/279220969/morocco-honors-trump-with-name-change
1113824807,20230709,ITALIAN,,ITA,,190,4,-10.0,-2.86259541984733,25.0,-13.5,1,https://www.dostor.org/4444479
1113824809,20230709,ITALIAN,EGYPT,ITA,EGY,190,4,-10.0,-2.86259541984733,25.0,-13.5,1,https://www.dostor.org/4444479
