globaleventid,actor1name,actor2name,eventcode,sourceurl,new_date
1198314243,,WESTERN SAHARA,52,https://nation.africa/kenya/blogs-opinion/blogs/algeria-elections-how-to-read-tebboune-s-landslide-victory-4760774,2024-09-14
1129062455,UNITED NATIONS,NEW YORK,52,https://allafrica.com/stories/202309250116.html,2023-09-25
1129062613,LESOTHO,NEW YORK,52,https://allafrica.com/stories/202309250116.html,2023-09-25
1115644058,WESTERN SAHARA,PALESTINIAN,53,https://www.middleeasteye.net/news/western-sahara-morocco-palestine-israel-recognition-sovereignty-activists-call-solidarity,2023-07-18
1141742484,,REFUGEE,53,https://www.africaleader.com/news/274041265/un-launches-humanitarian-aid-plan-for-sahrawi-refugees-in-algeria,2023-11-22
1202264401,LIBERATION MOVEMENT,WESTERN SAHARA,52,https://www.middleeastmonitor.com/20241004-ecj-ruling-moroccos-trade-deals-cannot-include-western-sahara/,2024-10-04
1032842165,,WESTERN SAHARA,53,https://fr.allafrica.com/stories/202203090757.html,2022-03-09
1022840577,WASHINGTON,ENVOY,53,https://www.spsrasd.info/news/en/articles/2022/01/10/37326.html,2022-01-12
1115890788,WESTERN SAHARA,ISRAEL,53,https://www.democracynow.org/2023/7/19/headlines/israel_recognizes_moroccos_sovereignty_over_western_sahara_which_it_has_occupied_since_1975,2023-07-19
1115890789,WESTERN SAHARA,PALESTINIAN,53,https://www.democracynow.org/2023/7/19/headlines/israel_recognizes_moroccos_sovereignty_over_western_sahara_which_it_has_occupied_since_1975,2023-07-19
1115890791,WESTERN SAHARA,PALESTINIAN,53,https://www.democracynow.org/2023/7/19/headlines/israel_recognizes_moroccos_sovereignty_over_western_sahara_which_it_has_occupied_since_1975,2023-07-19
1115890790,WESTERN SAHARA,PALESTINIAN,53,https://www.democracynow.org/2023/7/19/headlines/israel_recognizes_moroccos_sovereignty_over_western_sahara_which_it_has_occupied_since_1975,2023-07-19
1194686668,ALGERIAN,JAPAN,44,https://www.middleeastmonitor.com/20240826-algerian-moroccan-delegations-clash-at-tokyo-conference-over-polisario-attendance/,2024-08-26
1288890405,FOREIGN MINIST,ALGERIA,52,https://euobserver.com/202815/eu-touts-big-interest-in-algerias-gas-and-green-hydrogen/,2026-02-12
