id,side_a,side_b,dyad_name,conflict_name,date_prec,event_clarity,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,latitude,longitude
391501,Government of Morocco,POLISARIO,Government of Morocco - POLISARIO,Morocco: Sahrawi Arab Democratic Republic (Western Sahara),3,2,2020-11-14,2020-11-20,2,0,0,0,2,2,2,26.013033,-12.096408
385664,Government of Morocco,POLISARIO,Government of Morocco - POLISARIO,Morocco: Sahrawi Arab Democratic Republic (Western Sahara),1,1,2021-02-08,2021-02-08,0,0,0,0,0,3,0,29.38914,-8.2549
385685,Government of Morocco,POLISARIO,Government of Morocco - POLISARIO,Morocco: Sahrawi Arab Democratic Republic (Western Sahara),2,2,2021-02-21,2021-02-23,0,0,0,0,0,5,0,28.16667,-9.41667
396479,Government of Morocco,POLISARIO,Government of Morocco - POLISARIO,Morocco: Sahrawi Arab Democratic Republic (Western Sahara),1,1,2021-04-06,2021-04-06,0,3,0,0,3,3,3,26.158757,-10.558116
420096,Government of Morocco,POLISARIO,Government of Morocco - POLISARIO,Morocco: Sahrawi Arab Democratic Republic (Western Sahara),1,1,2021-11-01,2021-11-01,0,0,3,0,3,3,3,27.8583,-12.20787
423699,Government of Morocco,POLISARIO,Government of Morocco - POLISARIO,Morocco: Sahrawi Arab Democratic Republic (Western Sahara),2,2,2021-11-14,2021-11-15,0,0,0,0,0,11,0,23.446111,-12.826667
428221,Government of Morocco,POLISARIO,Government of Morocco - POLISARIO,Morocco: Sahrawi Arab Democratic Republic (Western Sahara),1,1,2022-01-03,2022-01-03,0,0,3,0,3,3,3,26.013033,-12.096408
428222,Government of Morocco,POLISARIO,Government of Morocco - POLISARIO,Morocco: Sahrawi Arab Democratic Republic (Western Sahara),4,1,2022-01-10,2022-01-20,0,4,0,0,4,4,4,26.134751,-11.06757
436462,Government of Morocco,POLISARIO,Government of Morocco - POLISARIO,Morocco: Sahrawi Arab Democratic Republic (Western Sahara),1,1,2022-04-10,2022-04-10,0,0,0,3,3,3,3,26.013033,-12.096408
464209,Government of Morocco,POLISARIO,Government of Morocco - POLISARIO,Morocco: Sahrawi Arab Democratic Republic (Western Sahara),1,1,2022-11-15,2022-11-15,0,4,0,0,4,4,4,27.41434,-9.04785
511311,Government of Morocco,POLISARIO,Government of Morocco - POLISARIO,Morocco: Sahrawi Arab Democratic Republic (Western Sahara),1,1,2023-10-29,2023-10-29,0,0,0,1,1,1,1,26.73841,-11.67194
565367,Government of Morocco,POLISARIO,Government of Morocco - POLISARIO,Morocco: Sahrawi Arab Democratic Republic (Western Sahara),1,1,2025-01-18,2025-01-18,0,3,0,0,3,3,3,27.75,-11.0
